componente,variante,n_rainhas,semente,tempo_s,fitness_maximo,fitness_medio,fitness_minimo,geracoes_para_solucao,solucionado
Baseline,Torn.0.80C.0.10M.0.10E,25,8479,9.8059,299,298.80,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,32408,9.4180,299,298.85,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,67203,9.4596,299,298.67,295,-1,nao
Baseline,Torn.0.80C.0.10M.0.10E,25,60688,10.5495,300,299.75,296,73,sim
Baseline,Torn.0.80C.0.10M.0.10E,25,5065,10.3862,299,298.69,294,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,27284,12.5769,300,299.79,296,43,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,73959,10.7059,300,299.90,296,30,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,99717,12.1638,299,298.79,294,-1,nao
Baseline,Torn.1.00C.0.05M.0.02E,25,28973,11.5345,300,299.88,296,63,sim
Baseline,Torn.1.00C.0.05M.0.02E,25,20928,11.0074,300,299.93,297,165,sim
Baseline,Torn.1.00C.0.05M.0.10E,25,87176,10.8887,300,299.85,296,82,sim
Baseline,Torn.1.00C.0.05M.0.10E,25,81366,9.3068,299,298.97,297,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,94978,10.4226,299,298.88,296,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,47694,10.7321,299,298.97,295,-1,nao
Baseline,Torn.1.00C.0.05M.0.10E,25,12855,10.7384,299,298.94,296,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,47338,11.7552,299,298.85,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.02E,25,73262,11.7534,300,299.71,296,24,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,68674,12.7409,300,299.78,296,321,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,8000,14.3923,300,299.75,296,151,sim
Baseline,Torn.1.00C.0.10M.0.02E,25,96680,11.7669,300,299.76,296,249,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,68945,10.1646,300,299.93,297,27,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,51197,11.8688,299,298.89,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,96434,11.6332,300,299.81,296,20,sim
Baseline,Torn.1.00C.0.10M.0.10E,25,38065,11.6296,299,298.87,295,-1,nao
Baseline,Torn.1.00C.0.10M.0.10E,25,43861,13.1635,300,299.78,297,394,sim
